Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 03/23/2015 11:06:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
Picture	full1i	other				817836	1	3833	2	0	3790
Picture	full0i	other				828836	1	3833	2	0	3790
Picture	full1n	other				842336	1	4500	2	0	4450
Picture	full0n	other				854669	1	4834	2	0	4790
Picture	full1i	other				865503	1	2666	2	0	2620
Picture	full0i	other				877003	1	4500	2	0	4450
Picture	full1n	other				889169	1	4334	2	0	4290
Picture	full0n	other				901336	1	3833	2	0	3790
Picture	blue0i	false alarm	2	5236	2	913669	1	2834	2	0	2790
Picture	full0n	other				927169	2	4167	3	0	4120
Picture	full0i	other				939336	1	2500	2	0	2450
Picture	full1i	other				952170	1	4833	2	0	4790
Picture	full1n	other				963170	1	2833	2	0	2790
Picture	full1i	other				975836	1	4000	2	0	3950
Picture	full0n	other				989336	1	3834	2	0	3790
Picture	full1n	other				1000670	1	4666	2	0	4620
Picture	full1i	other				1012503	1	4000	2	0	3950
Picture	full1n	other				1023503	1	3167	2	0	3120
Picture	full0i	other				1037003	1	3834	2	0	3790
Picture	full1i	other				1050170	1	2500	2	0	2450
Picture	full0n	other				1062337	1	4333	2	0	4290
Picture	full0i	other				1075170	1	4000	2	0	3950
Picture	full0n	other				1087337	1	4166	2	0	4120
Picture	full1n	other				1099503	1	4167	2	0	4120
Picture	full0i	other				1112670	1	4333	2	0	4290
Picture	blue1i	other				1124170	1	4000	2	0	3950
Picture	full0n	other				1135170	1	2834	2	0	2790
Picture	full1n	other				1146504	1	4166	2	0	4120
Picture	full0i	other				1159170	1	3167	2	0	3120
Picture	full0n	other				1171837	1	3667	2	0	3620
Picture	full1i	other				1184670	1	3834	2	0	3790
Picture	full0i	other				1198170	1	3500	2	0	3450
Picture	full0n	other				1210504	1	2500	2	0	2450
Picture	full0i	other				1222004	1	2833	2	0	2790
Picture	full0n	other				1233337	1	3500	2	0	3450
Picture	full0i	other				1245671	1	3000	2	0	2950
Picture	full1n	other				1257837	1	5000	2	0	4950
Picture	full0n	other				1270004	1	4333	2	0	4290
Picture	full0i	other				1282337	1	4834	2	0	4790
Picture	full0n	other				1295837	1	3500	2	0	3450
Picture	blue0i	false alarm	2	4927	3	1307671	1	3833	2	0	3790
Picture	full0n	other				1319837	2	3334	3	0	3290
Picture	full0i	other				1333004	1	3000	2	0	2950
Picture	full1i	other				1344004	1	2667	2	0	2620
Picture	full1n	other				1357171	1	3333	2	0	3290
Picture	full0n	other				1370338	1	4833	2	0	4790
Picture	full1i	other				1383838	1	4333	2	0	4290
Picture	full1n	other				1396004	2	3834	3	0	3790
Picture	full1i	other				1407838	1	4000	2	0	3950
Picture	full1n	other				1418671	1	3167	2	0	3120
Picture	blue0i	false alarm	2	5359	2	1430838	1	4333	2	0	4290
Picture	full0n	other				1442671	1	3000	2	0	2950
Picture	full0i	other				1455005	1	4333	2	0	4290
Picture	full1i	other				1468171	1	2667	2	0	2620
Picture	full0n	other				1479005	1	4166	2	0	4120
Picture	full0i	other				1491171	2	4834	3	0	4790
Picture	full0n	other				1503838	1	2667	2	0	2620
Picture	full0i	other				1516672	1	3166	2	0	3120
Picture	full0n	other				1529505	1	4833	2	0	4790
Picture	full0i	other				1541672	1	3666	2	0	3620
Picture	blue1n	false alarm	2	7990	2	1554005	1	4500	2	0	4450
Picture	full0n	other				1566672	1	4166	2	0	4120
Picture	full0i	other				1579338	2	4667	3	0	4620
Picture	full1i	other				1592505	1	4333	3	0	4290
Picture	full1n	other				1604005	1	3667	2	0	3620
Picture	82	other				1615005	1	100167	2	0	next
Picture	82	other				1715172	1	10000	2	100000	next
Picture	82	other				1725172	1	10000	2	110000	next
Picture	82	other				1735172	1	10000	2	120000	next
Picture	82	other				1745172	1	10000	2	130000	next
Picture	82	other				1755172	1	10000	2	140000	next
Picture	82	other				1765172	1	10000	3	150000	next
Picture	82	other				1775172	2	10000	4	160000	next
Picture	82	other				1785172	2	10001	3	170000	next
Picture	82	other				1795173	1	10000	2	180000	next
Picture	82	other				1805173	1	10000	2	190000	10000
Picture	full0n	other				1815173	1	4666	2	0	4620
Picture	full1n	other				1826506	1	2667	2	0	2620
Picture	full1i	other				1838673	1	4333	2	0	4290
Picture	full1n	other				1850506	1	2667	2	0	2620
